723172231761805312	Snoop D O Double Giggle #420Celebs @midnight	0
723204280002301953	@midnight January--WHOA. #420Celebs #JointsMe #PointsMe	0
723189768767549440	#420celebs   .@midnight  BONEy James https://t.co/GGUfwfcgn1	0
723188468898095104	Berry White #420Celebs @midnight	0
723181036377501696	Emily Blunt Wrap! @midnight #HashtagWars #420Celebs	0
722994274736861184	Jay Jay Abrams #420Celebs @midnight	1
722991144007692288	Joint Behar #420Celebs @midnight	1
722992936510586882	Ellie Hemper  #420Celebs @midnight	1
723015696867840000	#420Celebs @midnight   Martin Scores Easy	1
723003570392424449	Laura "High As A" Keightlinger #420Celebs @midnight	1
722996046507298821	Holly Blunter #420Celebs @midnight	1
722995659742302208	Baked Lively  #420Celebs @midnight	2
722994588063916032	Edible Murphy #420Celebs @midnight	1
722990207654465537	Joss Weedon #420Celebs @midnight	1
722998781281624065	Up In Smokey Robinson #420Celebs @midnight	1
